train_loss,train_acc,val_acc,test_acc,lr
5.672810230255127,32.0,32.333333333333336,32.46666666666667,0.029992598405485973
2.1874320220947268,45.333333333333336,35.0,34.93333333333333,0.029970400926424074
1.2830712207158406,42.666666666666664,39.0,41.6,0.029933429469046202
1.5856591987609863,37.333333333333336,39.0,40.5,0.029881720519717173
1.2493987671534221,45.333333333333336,38.333333333333336,40.333333333333336,0.02981532510892707
1.013952522277832,48.333333333333336,37.333333333333336,37.86666666666667,0.029734308760930334
1.108391342163086,49.0,43.666666666666664,43.96666666666667,0.029638751429081213
1.0559451945622762,46.0,42.666666666666664,44.166666666666664,0.029528747416929468
0.9913766654332479,49.666666666666664,48.666666666666664,48.86666666666667,0.02940440528515415
0.9651591777801514,47.666666666666664,44.0,45.93333333333333,0.029265847744427306
0.9844830258687337,52.666666666666664,44.333333333333336,45.733333333333334,0.029113211534313385
1.0610351181030273,48.666666666666664,45.333333333333336,47.833333333333336,0.028946647288323774
0.9447165664037068,53.333333333333336,45.0,46.0,0.02876631938525972
1.0036720291773478,51.666666666666664,46.0,48.6,0.028572405786990298
0.9499019543329875,55.0,45.0,46.13333333333333,0.02836509786282552
0.8621077728271485,57.333333333333336,39.666666666666664,40.8,0.028144600200657958
0.9254045216242472,57.666666666666664,45.0,48.9,0.027911130405059163
0.9502498602867127,53.333333333333336,42.333333333333336,44.53333333333333,0.027664918882530233
0.8979957842826843,55.666666666666664,50.333333333333336,52.9,0.027406208614118435
0.8610331726074218,59.333333333333336,46.333333333333336,45.93333333333333,0.02713525491562422
0.8925716352462768,54.666666666666664,47.666666666666664,47.96666666666667,0.02685232518563536
0.9490799283981324,55.333333333333336,48.666666666666664,47.833333333333336,0.026557698641636845
0.8668611613909404,62.666666666666664,48.666666666666664,52.46666666666667,0.0262516660444569
0.8530497527122498,61.0,49.333333333333336,48.1,0.02593452941132118
0.9279649980862935,55.0,48.333333333333336,46.9,0.025606601717798216
0.8232885225613912,58.666666666666664,49.0,52.166666666666664,0.025268206588930336
0.7658730014165243,65.66666666666667,52.0,50.2,0.024919677979854785
0.793457551797231,66.0,54.0,53.43333333333333,0.024561359846230355
0.8137674578030905,60.333333333333336,44.0,42.56666666666667,0.024193605804794658
0.8558575304349264,60.333333333333336,54.666666666666664,52.7,0.023816778784387108
0.708809335231781,70.0,52.0,50.7,0.02343125066778197
0.7579297002156575,66.33333333333333,53.666666666666664,50.13333333333333,0.023037401924684956
0.71642449537913,67.0,55.0,53.03333333333333,0.02263562123625558
0.8247500475247701,64.0,53.333333333333336,51.96666666666667,0.02222630511152574
0.6798995033899943,67.66666666666667,56.0,54.333333333333336,0.02180985749609321
0.7327954451243083,68.66666666666667,53.0,52.96666666666667,0.021386689373476098
0.6562460565567017,70.0,51.0,53.3,0.020957218359521718
0.6311880771319072,71.33333333333333,52.0,52.93333333333333,0.02052186829027018
0.6276651851336161,73.0,47.333333333333336,46.333333333333336,0.02008106880367938
0.5916822218894958,75.33333333333333,49.666666666666664,49.333333333333336,0.01963525491562422
0.5927069115638733,76.66666666666667,51.333333333333336,48.6,0.019184866590588448
0.6030662552515665,71.66666666666667,52.666666666666664,50.233333333333334,0.018730348307472826
0.5522385287284851,76.66666666666667,52.666666666666664,51.93333333333333,0.018272148620948146
0.5693680469195048,76.0,52.666666666666664,52.8,0.017810719718785877
0.5394961476325989,76.0,54.666666666666664,53.233333333333334,0.01734651697560347
0.4970409115155538,81.66666666666667,50.333333333333336,52.06666666666667,0.016879998503464572
0.498436195453008,79.66666666666667,54.666666666666664,53.266666666666666,0.016411624699777718
0.4829747239748637,81.0,53.0,52.13333333333333,0.015941857792939707
0.43826310873031615,83.66666666666667,53.0,54.4,0.01547116138617193
0.47229642629623414,81.0,55.0,54.43333333333333,0.015000000000000005
0.5234368503093719,77.0,55.666666666666664,52.6,0.014528838613828081
0.40708335717519123,84.0,54.0,51.06666666666667,0.014058142207060304
0.42292722741762795,83.0,53.0,50.666666666666664,0.013588375300222288
0.37120904445648195,86.0,54.0,51.7,0.01312000149653544
0.39030242800712583,83.33333333333333,52.666666666666664,49.8,0.012653483024396539
0.3792762871583303,86.33333333333333,55.333333333333336,54.13333333333333,0.012189280281214132
0.3563408946990967,87.0,55.333333333333336,53.4,0.011727851379051867
0.39384334087371825,85.33333333333333,56.0,52.93333333333333,0.011269651692527178
0.3356134217977524,86.0,55.666666666666664,51.0,0.010815133409411563
0.35348575909932456,88.0,53.666666666666664,52.1,0.010364745084375794
0.3028771976629893,87.66666666666667,55.666666666666664,52.06666666666667,0.00991893119632063
0.2894310090939204,90.33333333333333,58.0,54.36666666666667,0.009478131709729836
0.22771416028340657,91.0,57.0,54.3,0.00904278164047829
0.1914372456073761,93.0,58.0,56.63333333333333,0.00861331062652391
0.18098939299583436,93.0,58.666666666666664,53.733333333333334,0.0081901425039068
0.1547512185573578,95.33333333333333,56.333333333333336,53.5,0.007773694888474269
0.1607346765200297,95.66666666666667,57.0,51.9,0.007364378763744431
0.2351802166302999,92.0,56.666666666666664,53.233333333333334,0.006962598075315048
0.15541252255439758,94.0,53.333333333333336,53.7,0.006568749332218041
0.22227568328380584,93.0,58.666666666666664,52.1,0.006183221215612906
0.11644444833199183,96.33333333333333,61.333333333333336,55.2,0.005806394195205352
0.11964731961488724,96.33333333333333,58.0,54.766666666666666,0.005438640153769655
0.12810338238875071,96.0,56.333333333333336,54.1,0.005080322020145226
0.09015088190635046,96.66666666666667,57.666666666666664,55.0,0.00473179341106967
0.08898812512556711,96.33333333333333,58.333333333333336,53.36666666666667,0.0043933982822017895
0.06781743437051774,98.66666666666667,56.333333333333336,54.43333333333333,0.004065470588678831
0.05351819187402725,98.66666666666667,57.666666666666664,56.9,0.003748333955543107
0.06305261890093486,98.0,58.333333333333336,55.766666666666666,0.003442301358363164
0.06300104280312856,98.0,58.666666666666664,55.06666666666667,0.0031476748143646448
0.03827061673005422,98.33333333333333,60.0,56.266666666666666,0.0028647450843757908
0.027378797853986423,99.66666666666667,60.0,56.233333333333334,0.002593791385881575
0.11636606593926747,97.0,58.333333333333336,54.7,0.002335081117469778
0.031238825966914494,99.66666666666667,60.666666666666664,57.03333333333333,0.0020888695949408446
0.049409040361642835,98.66666666666667,58.0,56.733333333333334,0.0018553997993420472
0.03709509717921416,99.0,60.666666666666664,55.8,0.001634902137174484
0.022925777137279512,99.66666666666667,62.0,55.666666666666664,0.0014275942130097103
0.026863927493492763,99.66666666666667,61.333333333333336,56.266666666666666,0.0012336806147402867
0.0290118141969045,99.33333333333333,62.333333333333336,56.833333333333336,0.0010533527116762301
0.02606476510564486,99.66666666666667,60.666666666666664,57.166666666666664,0.0008867884656866185
0.017094465146462123,99.33333333333333,61.666666666666664,56.7,0.0007341522555726973
0.01907666544119517,99.66666666666667,62.0,56.266666666666666,0.0005955947148458559
0.02198039506872495,99.66666666666667,61.666666666666664,55.86666666666667,0.00047125258307053567
0.022628300040960312,99.66666666666667,61.0,55.4,0.00036124857091879027
0.029628419876098634,99.33333333333333,60.333333333333336,55.36666666666667,0.0002656912390696693
0.0325634844104449,99.33333333333333,61.0,55.4,0.0001846748910729352
0.01995678232361873,99.66666666666667,61.333333333333336,55.666666666666664,0.00011827948028283359
0.016994061196843782,100.0,61.666666666666664,55.766666666666666,6.657053095380009e-05
0.02180581693847974,99.66666666666667,62.333333333333336,55.833333333333336,2.959907357592663e-05
0.02011727267255386,100.0,62.333333333333336,55.833333333333336,7.401594514026003e-06
0.030720591321587564,99.0,62.0,55.833333333333336,0.0
